epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.0989,0,1,1,0,6e-05,6e-05,6e-05
2,29.5425,0,1,1,0,0.000137228,0.000137228,0.000137228
3,42.3136,0,1,1,0,0.000211288,0.000211288,0.000211288
4,54.3951,0,1,1,0,0.00028218,0.00028218,0.00028218
5,65.9043,0,1,1,0,0.000349904,0.000349904,0.000349904
6,76.9267,0,1,1,0,0.00041446,0.00041446,0.00041446
7,88.7426,0,1,1,0,0.000475848,0.000475848,0.000475848
8,100.77,0,1,1,0,0.000534068,0.000534068,0.000534068
9,113.716,0,1,1,0,0.00058912,0.00058912,0.00058912
10,125.887,0,1,1,0,0.000641004,0.000641004,0.000641004
11,137.432,0,1,1,0,0.00068972,0.00068972,0.00068972
12,148.735,0,1,1,0,0.000735268,0.000735268,0.000735268
13,160.319,0,1,1,0,0.000777648,0.000777648,0.000777648
14,171.843,0,1,1,0,0.00081686,0.00081686,0.00081686
15,185.238,0,1,1,0,0.000852904,0.000852904,0.000852904
16,196.785,0,1,1,0,0.00088578,0.00088578,0.00088578
17,209.808,0,1,1,0,0.000915488,0.000915488,0.000915488
18,221.602,0,1,1,0,0.000942028,0.000942028,0.000942028
19,233.46,0,1,1,0,0.0009654,0.0009654,0.0009654
20,246.103,0,1,1,0,0.000985604,0.000985604,0.000985604
21,257.332,0,1,1,0,0.00100264,0.00100264,0.00100264
22,269.2,0,1,1,0,0.00101651,0.00101651,0.00101651
23,280.74,0,1,1,0,0.00102721,0.00102721,0.00102721
24,292.88,0,1,1,0,0.00103474,0.00103474,0.00103474
25,304.601,0,1,1,0,0.0010391,0.0010391,0.0010391
26,315.984,0,1,1,0,0.00101,0.00101,0.00101
27,328.664,0,1,1,0,0.0009704,0.0009704,0.0009704
28,340.45,0,1,1,0,0.0009308,0.0009308,0.0009308
29,351.381,0,1,1,0,0.0008912,0.0008912,0.0008912
30,362.51,0,1,1,0,0.0008516,0.0008516,0.0008516
31,373.488,0,1,1,0,0.000812,0.000812,0.000812
32,385.058,0,1,1,0,0.0007724,0.0007724,0.0007724
33,396.568,0,1,1,0,0.0007328,0.0007328,0.0007328
34,407.265,0,1,1,0,0.0006932,0.0006932,0.0006932
35,418.803,0,1,1,0,0.0006536,0.0006536,0.0006536
36,430.213,0,1,1,0,0.000614,0.000614,0.000614
37,441.26,0,1,1,0,0.0005744,0.0005744,0.0005744
38,453.232,0,1,1,0,0.0005348,0.0005348,0.0005348
39,464.679,0,1,1,0,0.0004952,0.0004952,0.0004952
40,476.984,0,1,1,0,0.0004556,0.0004556,0.0004556
41,489.181,0,1,1,0,0.000416,0.000416,0.000416
42,500.7,0,1,1,0,0.0003764,0.0003764,0.0003764
43,515.164,0,1,1,0,0.0003368,0.0003368,0.0003368
44,528.018,0,1,1,0,0.0002972,0.0002972,0.0002972
45,541.122,0,1,1,0,0.0002576,0.0002576,0.0002576
46,553.578,0,1,1,0,0.000218,0.000218,0.000218
47,566.317,0,1,1,0,0.0001784,0.0001784,0.0001784
48,579.505,0,1,1,0,0.0001388,0.0001388,0.0001388
49,592.427,0,1,1,0,9.92e-05,9.92e-05,9.92e-05
50,605.171,0,1,1,0,5.96e-05,5.96e-05,5.96e-05
